#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
25648829977079,-0.0034898669,-0.0775943995,-0.3683036566,0.1563705355,-0.1712487936,-0.7127235532,0.6620025039,-0.0647730380,-0.3250017166,-0.2466214895,0.8463889956,-0.5306551456,-0.0422691032,0.0156280566
25648836938128,-0.0021397844,-0.0769827217,-0.3685915470,0.1636350751,-0.1777399331,-0.7114490867,0.6599032283,-0.0680545047,-0.3245259523,-0.2475088835,0.8477786183,-0.5288541913,-0.0376095399,0.0130464714
25648843769177,-0.0015390813,-0.0755575448,-0.3690181375,0.1705883145,-0.1840326041,-0.7103887200,0.6575558186,-0.0712240264,-0.3239876032,-0.2484229803,0.8490959406,-0.5271201134,-0.0327743329,0.0103136087
25648851263654,-0.0005531460,-0.0745094866,-0.3693552017,0.1783832312,-0.1914316863,-0.7091528177,0.6547027230,-0.0741411746,-0.3230692148,-0.2502195835,0.8505176306,-0.5251718163,-0.0275538955,0.0074158125
25648857679235,-0.0008286610,-0.0748557448,-0.3698437810,0.1856728345,-0.1981449127,-0.7080283165,0.6518896222,-0.0779149607,-0.3220966458,-0.2514400482,0.8517778516,-0.5234084129,-0.0222474989,0.0048211315
25648864663796,-0.0002207011,-0.0734268427,-0.3703228235,0.1931112558,-0.2050758898,-0.7069697380,0.6487262249,-0.0813132301,-0.3211551309,-0.2525111437,0.8531860709,-0.5213406086,-0.0165393781,0.0019801476
25648871613265,-0.0009722039,-0.0730582923,-0.3709078431,0.2010035664,-0.2121582031,-0.7058036923,0.6453120708,-0.0845949724,-0.3200649023,-0.2544574738,0.8547244072,-0.5189703703,-0.0107126581,-0.0011579401
25648879431649,0.0004633591,-0.0723216534,-0.3711194992,0.2096016407,-0.2196466774,-0.7045454383,0.6414344907,-0.0890551284,-0.3185374439,-0.2544863224,0.8565533757,-0.5160202980,-0.0040504616,-0.0048038526
25648885096548,0.0012693852,-0.0706381351,-0.3714798689,0.2188331038,-0.2266048789,-0.7029409409,0.6376804113,-0.0926215798,-0.3175590634,-0.2566089630,0.8582841754,-0.5130954981,0.0026467412,-0.0086253630
25648892021676,0.0004388019,-0.0699840039,-0.3719633818,0.2286665291,-0.2336834520,-0.7012156248,0.6335616708,-0.0964316353,-0.3161321282,-0.2587779760,0.8601170778,-0.5098468065,0.0096152527,-0.0127476733
25648899081629,0.0019626021,-0.0687299520,-0.3718041182,0.2394298911,-0.2406098396,-0.6992916465,0.6291036606,-0.1010069177,-0.3150298595,-0.2595971823,0.8620201349,-0.5062870383,0.0175292250,-0.0169565212
25648906008857,0.0045040101,-0.0654259473,-0.3713634610,0.2510015070,-0.2477409095,-0.6970556974,0.6242884994,-0.1053718477,-0.3120236993,-0.2612898350,0.8640048504,-0.5023809671,0.0250808764,-0.0219090562
25648913190760,0.0040364563,-0.0652150363,-0.3716813922,0.2623820305,-0.2544141412,-0.6950228810,0.6191707253,-0.1100529879,-0.3094047904,-0.2625243664,0.8660574555,-0.4980795979,0.0335171930,-0.0271651912
25648920101760,0.0033418685,-0.0650512874,-0.3721169233,0.2732906044,-0.2607888877,-0.6930413246,0.6139993668,-0.1142061055,-0.3069027364,-0.2637463808,0.8681525588,-0.4933248162,0.0427989848,-0.0333180539
25648926994618,0.0060669184,-0.0616651028,-0.3713852763,0.2844982445,-0.2671283782,-0.6911821365,0.6082520485,-0.1190110743,-0.3031573296,-0.2654680014,0.8701046705,-0.4885565639,0.0516518243,-0.0395282954
25648934021650,0.0054812878,-0.0615970641,-0.3717159629,0.2959870398,-0.2734510899,-0.6890941858,0.6023001075,-0.1231759563,-0.3024547100,-0.2650393248,0.8726487160,-0.4814449549,0.0654269457,-0.0491363294
25648941193412,0.0064063370,-0.0599612296,-0.3714719415,0.3081665337,-0.2795175314,-0.6868293881,0.5959604383,-0.1278655976,-0.2986389995,-0.2665700912,0.8743837476,-0.4761603475,0.0748067051,-0.0559324995
