#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
59157543415795,0.0091969669,-0.1411703825,-0.4360148311,-0.3646355867,0.1521304399,0.4737814665,-0.7870377898,-0.0884375870,-0.2702990770,-0.3473530412,0.9140501022,-0.3955483437,-0.0895698220,0.0055848863
59157550218830,0.0094918385,-0.1409195662,-0.4360518456,-0.3654312491,0.1523035467,0.4739827514,-0.7865138650,-0.0884476528,-0.2699687481,-0.3471253514,0.9142182469,-0.3952201307,-0.0893375278,0.0049791560
59157557177206,0.0090781003,-0.1408109665,-0.4363431633,-0.3662444353,0.1524095386,0.4741262496,-0.7860283852,-0.0888440460,-0.2699464560,-0.3477475345,0.9143183827,-0.3950524628,-0.0890892223,0.0043147509
59157564125143,0.0089310482,-0.1406757832,-0.4364641607,-0.3672237098,0.1523905098,0.4742515981,-0.7854993939,-0.0889698192,-0.2696717978,-0.3477083743,0.9144504666,-0.3948379159,-0.0887115896,0.0036921233
59157571040088,0.0090605840,-0.1404656172,-0.4367161691,-0.3682683110,0.1521585435,0.4742552936,-0.7850529552,-0.0892072096,-0.2695014477,-0.3480281532,0.9145136476,-0.3948441148,-0.0880523846,0.0031287561
59157577997384,0.0083122924,-0.1404935122,-0.4370090663,-0.3695007563,0.1519311219,0.4743239880,-0.7844762206,-0.0894709751,-0.2694587708,-0.3482867181,0.9146009088,-0.3947820067,-0.0874413550,0.0025406883
59157584981952,0.0085585862,-0.1402839422,-0.4370284677,-0.3709312975,0.1512771547,0.4741388261,-0.7840393186,-0.0896124691,-0.2690768242,-0.3481765985,0.9147672653,-0.3945831656,-0.0866123810,0.0018259328
59157592039860,0.0084185824,-0.1401678324,-0.4374969006,-0.3723271191,0.1505636722,0.4739879370,-0.7836061716,-0.0899347439,-0.2690031528,-0.3485277295,0.9148718715,-0.3945315182,-0.0857472867,0.0013119428
59157598817764,0.0076006129,-0.1402316093,-0.4378126860,-0.3737478554,0.1498538852,0.4738541543,-0.7831466198,-0.0902497098,-0.2687969208,-0.3488148451,0.9149973392,-0.3944762051,-0.0846630931,0.0007694718
59157605766250,0.0078013167,-0.1400423050,-0.4377093315,-0.3752409816,0.1490244269,0.4736297727,-0.7827265263,-0.0903337374,-0.2686710358,-0.3487350345,0.9151510596,-0.3943417370,-0.0836248845,0.0001942312
59157612743046,0.0075753853,-0.1398798227,-0.4381809831,-0.3768132329,0.1481880248,0.4733925760,-0.7822733521,-0.0908241346,-0.2683607340,-0.3491200209,0.9153217673,-0.3942016959,-0.0824074298,-0.0003246285
59157619761555,0.0068096519,-0.1397022009,-0.4383384585,-0.3784246743,0.1474346817,0.4731165171,-0.7818047404,-0.0911982656,-0.2682011127,-0.3495135903,0.9154920578,-0.3940471709,-0.0812426656,-0.0008533721
59157626710101,0.0066826493,-0.1395561695,-0.4385322332,-0.3800594509,0.1467245370,0.4727111161,-0.7813904285,-0.0915392488,-0.2676665783,-0.3492961526,0.9156898260,-0.3938438892,-0.0799840763,-0.0013196382
59157633633657,0.0065540448,-0.1392208338,-0.4387497604,-0.3818880916,0.1459093988,0.4721273184,-0.7810043693,-0.0920324549,-0.2674741745,-0.3497237861,0.9158942699,-0.3935915530,-0.0788702592,-0.0017221828
59157640535133,0.0057611689,-0.1390949488,-0.4388200045,-0.3836106062,0.1451180130,0.4715549350,-0.7806534171,-0.0925027505,-0.2672913074,-0.3501563072,0.9160449505,-0.3934590220,-0.0777628049,-0.0021462818
59157647472248,0.0057507232,-0.1388425827,-0.4388493896,-0.3855163157,0.1442859471,0.4710009098,-0.7802031636,-0.0929422900,-0.2667201757,-0.3499301672,0.9161885381,-0.3933361471,-0.0766723603,-0.0025938053
